,id,name,listing_url,bathrooms_text,room_type,bedrooms,beds
42,1611318,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/1611318,1 bath,Private room,1.0,1.0
43,1615074,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 1.5 baths,https://www.airbnb.com/rooms/1615074,1.5 baths,Private room,,1.0
44,1643945,Home in Singapore · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/1643945,1 bath,Private room,1.0,2.0
45,1646909,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/1646909,1 bath,Private room,1.0,1.0
46,1654840,Bed and breakfast in Singapore · 1 bedroom · 3 beds · 8 baths,https://www.airbnb.com/rooms/1654840,8 baths,Private room,1.0,3.0
47,1678744,Bed and breakfast in Singapore · ★4.56 · 1 bedroom · 1 bed · 0 shared baths,https://www.airbnb.com/rooms/1678744,0 shared baths,Shared room,,1.0
48,1678754,Bed and breakfast in Singapore · 1 bedroom · 6 beds · 0 baths,https://www.airbnb.com/rooms/1678754,0 baths,Hotel room,1.0,6.0
49,1678755,Bed and breakfast in Singapore · ★4.67 · 2 bedrooms · 1 bed · 0 baths,https://www.airbnb.com/rooms/1678755,0 baths,Hotel room,2.0,1.0
50,1710048,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/1710048,1 private bath,Private room,,1.0
51,1902729,Home in Opera Estate · ★4.67 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/1902729,1 bath,Private room,,1.0
52,1902793,Home in Opera Estate · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/1902793,1 bath,Private room,,1.0
53,1941719,Condo in Singapore · ★4.51 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/1941719,1 shared bath,Private room,,1.0
54,2009008,Home in Singapore · ★4.80 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/2009008,1 bath,Private room,,1.0
55,2030663,Rental unit in Singapore · 1 bedroom · 2 beds · 2 baths,https://www.airbnb.com/rooms/2030663,2 baths,Private room,,2.0
56,2129215,Townhouse in Singapore · ★4.93 · 1 bedroom · 3 beds · 1 bath,https://www.airbnb.com/rooms/2129215,1 bath,Entire home/apt,1.0,3.0
57,2142826,Rental unit in Singapore · ★4.67 · 1 bedroom · 1 bed · 2 baths,https://www.airbnb.com/rooms/2142826,2 baths,Private room,,1.0
58,2156372,Condo in Singapore · ★4.79 · 1 bedroom · 1 bed · 1.5 shared baths,https://www.airbnb.com/rooms/2156372,1.5 shared baths,Private room,,1.0
59,2320536,Rental unit in Singapore · ★4.75 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/2320536,1 bath,Private room,1.0,1.0
60,2351979,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/2351979,1 bath,Entire home/apt,1.0,1.0
61,2387588,Hostel in Singapore · ★4.53 · 1 bedroom · 1 bed · 5 shared baths,https://www.airbnb.com/rooms/2387588,5 shared baths,Private room,1.0,1.0
62,2387715,Hostel in Singapore · ★4.56 · 1 bedroom · 1 bed · 5 shared baths,https://www.airbnb.com/rooms/2387715,5 shared baths,Private room,1.0,1.0
63,2387730,Hostel in Singapore · ★4.67 · 1 bedroom · 1 bed · 5 shared baths,https://www.airbnb.com/rooms/2387730,5 shared baths,Private room,1.0,1.0
64,2547778,Rental unit in Singapore · 1 bedroom · 1 bed · 3 shared baths,https://www.airbnb.com/rooms/2547778,3 shared baths,Private room,,1.0
65,2691621,Rental unit in Singapore · 1 bedroom · 1 bed · 1.5 shared baths,https://www.airbnb.com/rooms/2691621,1.5 shared baths,Shared room,,1.0
66,2922184,Aparthotel in Singapore · ★4.44 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/2922184,1 shared bath,Private room,1.0,1.0
67,3034137,Rental unit in Singapore · ★4.89 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/3034137,1 private bath,Private room,,1.0
68,3075620,Condo in Singapore · ★5.0 · 1 bedroom · 1 bed · Shared half-bath,https://www.airbnb.com/rooms/3075620,Shared half-bath,Private room,,1.0
69,3209752,Condo in Changi · ★4.85 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/3209752,1 private bath,Private room,,1.0
70,3304326,Condo in Singapore · ★4.75 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/3304326,1 private bath,Private room,,1.0
71,3349976,Rental unit in Singapore · 1 bedroom · 2 beds · Half-bath,https://www.airbnb.com/rooms/3349976,Half-bath,Private room,1.0,2.0
72,3667894,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/3667894,1 private bath,Private room,,1.0
73,3717196,Hostel in Singapore · ★3.94 · 1 bedroom · 12 beds · 4 baths,https://www.airbnb.com/rooms/3717196,4 baths,Hotel room,1.0,12.0
74,3802621,Bed and breakfast in Singapore · ★4.70 · 1 bedroom · 1 bed · 8 baths,https://www.airbnb.com/rooms/3802621,8 baths,Private room,1.0,1.0
