estimated_rating,pos_asent,neg_asent,positivity_flair,sentiment_flair,sentiment_textblob,compound_asent,neu_asent,subjectivity_textblob
4.849740128465604,0.41331071737929587,0.0,0.9873718023300171,POSITIVE,0.4955555555555556,0.4398053527167367,0.5866892826207042,0.8333333333333334
4.971063650873259,0.1556790286072054,0.013849092645654251,0.9964510202407837,POSITIVE,0.2813852813852814,0.29509664356322035,0.6638052120804737,0.47445887445887447
4.9225736336618295,0.2834166556725472,0.0,0.9989016056060791,POSITIVE,0.44995833333333335,0.4470345142430454,0.5165833443274528,0.6689999999999999
4.943066728112156,0.18175750378920708,0.030219780219780223,0.9978629946708679,POSITIVE,0.3527777777777778,0.37168614967110697,0.7880227159910127,0.6958333333333334
4.279189884587438,0.28767111396129075,0.0,0.9560814499855042,POSITIVE,0.4757142857142858,0.6585718208290515,0.7123288860387093,0.5785714285714286
4.8512435100313045,0.33370563789024316,0.0,0.9874492883682251,POSITIVE,0.38819444444444445,0.5194828984094445,0.3329610287764235,0.6475000000000001
4.938325464660139,0.23328879672053393,0.014161220043572986,0.9981029033660889,POSITIVE,0.36371527777777773,0.4140302030710619,0.5858833165692263,0.3791666666666667
4.910804449928624,0.4466916659574993,0.0,0.999500036239624,POSITIVE,0.44222222222222224,0.5249281077571286,0.5533083340425006,0.6633333333333334
4.940056529144527,0.26080509638091054,0.0,0.998015284538269,POSITIVE,0.5666666666666667,0.5326634488495572,0.7391949036190895,0.55
4.908049096401394,0.40709252354083525,0.0,0.9996403455734253,POSITIVE,0.3047222222222223,0.7824352353415311,0.5929074764591646,0.6866666666666666
4.947429172090658,0.17857142857142858,0.0,0.997642457485199,POSITIVE,0.2783333333333333,0.3388427877583815,0.3214285714285714,0.525
4.991042207766407,0.2079444277173212,0.0,0.9954482913017273,POSITIVE,0.515,0.2782461068140165,0.2920555722826788,0.612
4.911573743530126,0.474949708529727,0.0,0.9994608759880066,POSITIVE,0.4666666666666666,0.42253853088959453,0.525050291470273,0.7777777777777778
4.922985596086063,0.15516232675571637,0.0,0.9988806843757629,POSITIVE,0.3383908045977011,0.4528221519731842,0.6448376732442836,0.6468965517241378
4.908951380468828,0.2154963348680331,0.0,0.9995943903923035,POSITIVE,0.13894886363636366,0.38432734203005364,0.45117033179863353,0.4985795454545454
4.9902973501509775,0.25124473393993124,0.0,0.9954856038093567,POSITIVE,0.3010714285714286,0.6193916756968001,0.7487552660600688,0.7155555555555555
4.913663270489636,0.20671347525225217,0.02776618825100134,0.9993545413017273,POSITIVE,0.21818181818181823,0.3612798037695429,0.6226631936396035,0.5409090909090909
4.906213442888371,0.12096617380974878,0.01185344827586207,0.9997338652610779,POSITIVE,0.2833333333333333,0.2725631714782119,0.6171803779143891,0.5141666666666667
4.5945469113972415,0.17580455621589355,0.013006064766254476,0.9738580584526062,POSITIVE,0.1440740740740741,0.5694609399976246,0.811189379017852,0.5216666666666666
4.972336712140579,0.18741730998827735,0.0,0.9963870048522949,POSITIVE,0.31666666666666665,0.3506833533953884,0.4125826900117227,0.5175000000000001
4.937456628356685,0.25215070400363804,0.0183196821020193,0.9981468915939331,POSITIVE,0.3491071428571428,0.45549025868727444,0.5073073916721204,0.6107142857142858
4.944634406849714,0.18589194820347332,0.0,0.9977837204933167,POSITIVE,0.165625,0.3739918119854435,0.6141080517965267,0.409375
4.991794317374098,0.24634668455528347,0.0,0.9954106211662292,POSITIVE,0.37142857142857144,0.6432603218246195,0.7536533154447165,0.5976190476190476
4.243995376006987,0.4689854969840867,0.0,0.9540168046951294,POSITIVE,0.5348148148148149,0.6046680889832418,0.5310145030159132,0.8925925925925926
4.915916598068672,0.18930138688437942,0.006216006216006216,0.9992399215698242,POSITIVE,0.2722222222222222,0.3991715182295382,0.5822603846773922,0.5319444444444444
4.961364206822755,0.24490501371301918,0.018386714116251486,0.9930607080459595,POSITIVE,0.2378030303030303,0.31948714756086033,0.7367082721707293,0.5440476190476191
4.493559921318836,0.36261863725689664,0.0,0.9683018326759338,POSITIVE,0.42750000000000005,0.5192173392410422,0.43738136274310335,0.9285714285714286
4.72588816083598,0.5384615384615384,0.0,0.9809044003486633,POSITIVE,0.855,0.7905694150420948,0.46153846153846156,0.7650000000000001
4.874169803885083,0.12858880453119834,0.0,0.9886279702186584,POSITIVE,0.1890625,0.36846426673920135,0.5380778621354683,0.44375
4.913766364329261,0.2579681736282531,0.13849548548787907,0.9993492960929871,POSITIVE,0.15595238095238093,0.15188322770718662,0.6035363408838678,0.42142857142857143
4.980503380011326,0.3589743589743589,0.0,0.9940232634544373,POSITIVE,0.39999999999999997,0.812604508328942,0.6410256410256411,0.7083333333333334
0.8939918228741508,0.0,0.22330097087378636,0.5646258592605591,POSITIVE,0.0,-0.318210996771242,0.7766990291262136,0.0
4.912322263589683,0.39571413149087764,0.0,0.990577220916748,POSITIVE,0.48541666666666666,0.6242968056177333,0.6042858685091224,0.8
3.3665633576848086,0.16519976068160086,0.028364613788550406,0.6038863658905029,NEGATIVE,0.20833333333333334,0.14138679759338937,0.5564356255298487,0.6111111111111112
4.878896000339953,0.1827449467562729,0.0,0.9888702630996704,POSITIVE,0.515,0.40190631819329514,0.31725505324372716,0.6633333333333333
1.147197962553696,0.11795708073359804,0.0,0.6269711256027222,POSITIVE,0.34354166666666663,0.29368427689966037,0.382042919266402,0.53625
4.932992421525015,0.23523841198308215,0.0,0.9983730316162109,POSITIVE,0.4041666666666667,0.4147298979581797,0.43142825468358453,0.55
