id,name,details,neighbourhood_cleansed,neighbourhood_group_cleansed,picture_url,latitude,longitude,room_type,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,accommodates,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan
821368634251644679,Rental unit in Kallang,4 beds · 2 baths,Kallang,Central Region,https://a0.muscache.com/pictures/miso/Hosting-821368634251644679/original/2f140e06-3f9d-4cdd-bfb7-7b77b43dd8c3.jpeg,1.31342,103.8565,Entire home/apt,6600,3,12,0.2838627979427607,FARRER PARK MRT STATION,NE8,0.2250352552263546,Prime Nutrition Dr.Amit 📲82921225 Singapore,4,"City Square Mall 9th Floor #09-09, Office 16 Farrer Park MRT Exit i, 180 Kitchener Rd",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
821552256539345322,Rental unit in Clementi,2 beds · 1 bath,Clementi,West Region,https://a0.muscache.com/pictures/miso/Hosting-821552256539345322/original/19b2f2f0-2776-482f-b6d3-831b9d6d9cd7.jpeg,1.317725471499779,103.76141706175063,Entire home/apt,8190,3,37,0.5302390161472317,CLEMENTI MRT STATION,EW23,0.4450705435699255,The Clementi Mall,4,"3155 Commonwealth Ave W, Singapore 129588",1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
821636979334395803,Rental unit in Tanglin,1 bed · 1 bath,Tanglin,Central Region,https://a0.muscache.com/pictures/prohost-api/Hosting-821636979334395803/original/e52835e0-1995-4320-b343-45fd856c4029.jpeg,1.3177386,103.8286453,Entire home/apt,8460,3,37,0.3896623282927975,STEVENS MRT STATION,DT10,0.7612853225531182,Balmoral Plaza,2,"271 Bukit Timah Rd, Singapore 259708",1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
821637396926222244,Rental unit in Bukit Merah,1 bed · 1 bath,Bukit Merah,Central Region,https://a0.muscache.com/pictures/prohost-api/Hosting-821637396926222244/original/c920bb94-fb14-49cf-8c9d-ade686b01859.jpeg,1.292239,103.8231205,Entire home/apt,6660,3,37,0.7613426656390166,REDHILL MRT STATION,EW18,0.4545601141213045,Valley Point,2,"491 River Valley Rd, Singapore",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
822042266339514763,Hotel in Downtown Core,1 bed · 1 private bath,Downtown Core,Central Region,https://a0.muscache.com/pictures/2d181538-5f84-4b02-ab83-d062ffd73093.jpg,1.2829985039054672,103.8603347653514,Private room,19530,0,12,0.1873607467746277,BAYFRONT MRT STATION,DT16 / CE1,0.0483833788824434,MBS,3,"10 Bayfront Ave, Singapore 018956",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
822046864609541529,Rental unit in Bukit Batok,1 bed · 1 private bath,Bukit Batok,West Region,https://a0.muscache.com/pictures/miso/Hosting-822046864609541529/original/cf80b2c2-c53e-4301-8b78-2411d7dde1ec.jpeg,1.3630598842489652,103.76410994678736,Private room,1920,3,12,0.3762644748411034,HILLVIEW MRT STATION,DT3,0.0402104488952416,HillV2,1,"4 Hillview Rise, Singapore 667979",1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
822059164708734993,Hotel in Outram,1 bed · 1 private bath,Outram,Central Region,https://a0.muscache.com/pictures/miso/Hosting-822059164708734993/original/f5b6bea2-e409-4de3-a42c-7483fb53c7d9.jpeg,1.28424,103.84429,Private room,5520,0,12,0.0593642033975323,CHINATOWN MRT STATION,DT19,0.1141820217605007,Pagoda House,1,"51 Pagoda St, Singapore 059210",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
822747512409031740,Rental unit in Pasir Ris,1 bed · 2 baths,Pasir Ris,East Region,https://a0.muscache.com/pictures/miso/Hosting-822747512409031740/original/8078375e-fe8c-431e-babd-a60c1bfa0a95.jpeg,1.3793863568718157,103.93986195357724,Private room,2250,3,12,1.264976039177885,PASIR RIS MRT STATION,EW1,0.2537502738010174,Elias Mall,2,"Elias Rd, Elias Mall, Singapore",1,0,0,0,1,1,1,0,1,1,1,0,0,1,0
822888625164562641,Rental unit in Novena,1 bed · 1 bath,Novena,Central Region,https://a0.muscache.com/pictures/miso/Hosting-822888625164562641/original/98761603-9468-486c-a335-adf5dc7fdbab.jpeg,1.3175341495111728,103.84876671624976,Entire home/apt,7050,1,12,0.6373162326223948,NOVENA MRT STATION,NS20,0.5675020181550784,United Square Shopping Mall,2,"101 Thomson Rd, Singapore",1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
822923084996611859,Rental unit in Rochor,1 bed · 1 bath,Rochor,Central Region,https://a0.muscache.com/pictures/miso/Hosting-822923084996611859/original/9a4c14cc-3225-42ae-99bf-cebfd20e3c14.jpeg,1.3031105528068545,103.86111756706237,Entire home/apt,6540,3,37,0.4654907861222399,NICOLL HIGHWAY MRT STATION,CC5,0.0620379552273803,Textile Centre,2,"200 Jln Sultan, Singapore 199018",1,0,1,1,0,1,1,0,1,0,0,0,1,0,0
