Unnamed: 0,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan,name,details,accommodates,picture_url,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,total_bedrooms,total_beds,total_baths,bath_type
10,369145,Newton,Central Region,1.31129,103.83788,Private room,1980,3,37,0.1151386454212071,NEWTON MRT STATION,NS21,0.6428617469081898,Balmoral Plaza,"271 Bukit Timah Rd, Singapore 259708",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,Townhouse in Newton,2 bedrooms · 1 bed · 1 shared bath,2,https://a0.muscache.com/pictures/129807ba-7206-4a82-81fa-925c602d47f9.jpg,4.39,4.31,4.12,4.65,4.67,4.6,4.32,https://www.airbnb.com/rooms/369145,2.0,1.0,1.0,Private
11,395191,River Valley,Central Region,1.29335,103.83768,Private room,3000,3,12,0.745389973562849,FORT CANNING MRT STATION,DT20,0.5700501824088375,UE Square,"81 Clemenceau Ave, Singapore",1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Rental unit in River Valley,1 bedroom · 1 bed · 0 baths,1,https://a0.muscache.com/pictures/4678049/70e55239_original.jpg,4.31,4.27,4.08,4.73,4.69,4.58,4.19,https://www.airbnb.com/rooms/395191,1.0,1.0,0.0,Private
12,468782,Serangoon,North-East Region,1.36288,103.86575,Private room,1410,3,6,1.2654589766548865,LORONG CHUAN MRT STATION,CC14,0.2508626519230354,myVillage,"1 Maju Ave, Singapore",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Home in Serangoon,1 bedroom · 1.5 shared baths,2,https://a0.muscache.com/pictures/5965038/cd9d59b8_original.jpg,4.69,4.62,4.49,4.83,4.88,4.56,4.6,https://www.airbnb.com/rooms/468782,1.0,1.0,1.5,Private
13,481789,Tampines,East Region,1.34816,103.93238,Private room,1110,6,24,0.7347411707942868,TAMPINES WEST MRT STATION,DT31,0.1492773312927214,Shop @ West,"Tampines Street 81, Singapore 520825",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Rental unit in Tampines,1 bed · 1 bath,2,https://a0.muscache.com/pictures/5710886/22c62c79_original.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/481789,1.0,1.0,1.0,Private
14,606784,Tampines,East Region,1.34361,103.95717,Private room,2490,3,5,0.4246558657023322,SIMEI MRT STATION,EW3,0.4696207867050143,Eastpoint Mall,"3 Simei Street 6, Singapore",1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,Condo in Tampines,1 bedroom · 1 bed · 2 baths,2,https://a0.muscache.com/pictures/50824143/983709e0_original.jpg,4.82,4.87,4.79,4.93,4.92,4.59,4.64,https://www.airbnb.com/rooms/606784,1.0,1.0,2.0,Shared
15,642660,Rochor,Central Region,1.30096,103.85206,Private room,4860,6,24,0.2983389089842195,BENCOOLEN MRT STATION,DT21,0.0540001820612409,Fortune Centre,"190 Middle Rd, Fortune Centre, Singapore 188979",1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,Rental unit in Rochor,1 bed · 2 baths,2,https://a0.muscache.com/pictures/8290008/f3d60f76_original.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/642660,1.0,1.0,2.0,Shared
16,654191,Kallang,Central Region,1.31221,103.85832,Private room,2040,3,12,0.4608505744063516,FARRER PARK MRT STATION,NE8,0.2124783033785557,Prime Nutrition Dr.Amit 📲82921225 Singapore,"City Square Mall 9th Floor #09-09, Office 16 Farrer Park MRT Exit i, 180 Kitchener Rd",1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,Rental unit in Kallang,1 bedroom · 1 bed · 1 private bath,1,https://a0.muscache.com/pictures/5a9ac542-6884-4e82-b655-7e3f4e920c72.jpg,3.0,3.67,3.33,3.67,4.0,3.67,2.33,https://www.airbnb.com/rooms/654191,1.0,1.0,1.0,Private
17,696136,Bukit Timah,Central Region,1.30938,103.79812,Private room,3000,3,37,0.347064138526484,HOLLAND VILLAGE MRT STATION,CC21,0.2521296850824238,Raffles Holland V Mall,"118 Holland Ave, Singapore 278973",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Home in Bukit Timah,1 bedroom · 1 bed · 1 bath,2,https://a0.muscache.com/pictures/9475406/e1c47a6a_original.jpg,4.5,4.28,4.48,4.8,4.8,4.88,4.44,https://www.airbnb.com/rooms/696136,1.0,1.0,1.0,Private
18,733863,Serangoon,North-East Region,1.36926,103.87312,Private room,780,6,12,1.668152923694881,KOVAN MRT STATION,NE13,0.9953603178912888,myVillage,"1 Maju Ave, Singapore",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Rental unit in Serangoon,1 bed · 1 bath,1,https://a0.muscache.com/pictures/10752217/d3994c78_original.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/733863,1.0,1.0,1.0,Private
19,747813,Downtown Core,Central Region,1.27663,103.84498,Private room,3570,3,37,0.0990353639777103,TANJONG PAGAR MRT STATION,EW15,0.0973479580899323,Guoco Tower,"1 Wallich St, Singapore 078881",1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,Condo in Downtown Core,1 bedroom · 1 bed · 1 shared bath,4,https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,4.63,4.67,4.57,4.7,4.82,4.91,4.5,https://www.airbnb.com/rooms/747813,1.0,1.0,1.0,Private
20,747816,Downtown Core,Central Region,1.27585,103.84597,Private room,3570,3,37,0.0755603626546685,TANJONG PAGAR MRT STATION,EW15,0.1289911910741752,Guoco Tower,"1 Wallich St, Singapore 078881",1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,Condo in Downtown Core,1 bedroom · 1 bed · 1 shared bath,4,https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,4.56,4.44,4.32,4.76,4.88,4.96,4.28,https://www.airbnb.com/rooms/747816,1.0,1.0,1.0,Private
21,756267,Marine Parade,Central Region,1.30416,103.90076,Private room,7500,3,12,1.424433376563624,DAKOTA MRT STATION,CC8,0.0540978441151384,Katong Shopping Centre,"865 Mountbatten Rd, Singapore",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Rental unit in Marine Parade,1 bedroom · 1 bed · 1 private bath,2,https://a0.muscache.com/pictures/43bb109e-9870-4c39-9ced-07e1c0642cce.jpg,4.73,4.74,4.75,4.84,4.77,4.74,4.66,https://www.airbnb.com/rooms/756267,1.0,1.0,1.0,Private
22,765579,Outram,Central Region,1.2841,103.84253,Private room,2070,3,12,0.1037889812271867,CHINATOWN MRT STATION,NE4,0.011706168924586,People's Park Complex,"1 Park Rd, Singapore",1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,Rental unit in Outram,1 bed · 2 shared baths,1,https://a0.muscache.com/pictures/38529362-1d8e-4ed5-a13e-4fd7a46ebee2.jpg,4.0,3.0,3.0,4.0,4.5,4.0,3.0,https://www.airbnb.com/rooms/765579,1.0,1.0,2.0,Shared
23,815685,Bukit Merah,Central Region,1.29065,103.80941,Private room,1650,2,33,0.6106239334388649,QUEENSTOWN MRT STATION,EW19,0.2675916541836435,Dawson Place,"57 Dawson Rd, Singapore 142057",1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,1,https://a0.muscache.com/pictures/miso/Hosting-815685/original/557f26b4-c846-464b-8934-63ee6e903144.jpeg,4.13,3.88,4.25,4.25,4.44,4.25,3.88,https://www.airbnb.com/rooms/815685,1.0,1.0,2.0,Shared
24,819034,Marine Parade,Central Region,1.30492,103.90315,Entire home/apt,9000,3,12,1.6522817017012104,EUNOS MRT STATION,EW7,0.0936166533485284,Katong Plaza,"1 Brooke Rd, Singapore 429979",1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,Rental unit in Marine Parade,2 bedrooms · 2 beds · 2 baths,4,https://a0.muscache.com/pictures/b38c67d4-d18d-4ef9-9808-2910a70a2c5c.jpg,4.78,4.83,4.83,4.7,4.78,4.78,4.83,https://www.airbnb.com/rooms/819034,2.0,2.0,2.0,Private
25,819044,Marine Parade,Central Region,1.30425,103.90097,Private room,4500,3,12,1.4432765297556376,DAKOTA MRT STATION,CC8,0.0447106366460917,Katong Shopping Centre,"865 Mountbatten Rd, Singapore",1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,Rental unit in Marine Parade,1 bedroom · 1 bed · Private half-bath,2,https://a0.muscache.com/pictures/34c749c2-b2ce-47e6-88f0-8ad26efc4748.jpg,4.54,4.81,4.76,4.66,4.76,4.78,4.55,https://www.airbnb.com/rooms/819044,1.0,1.0,0.5,Private
26,823571,Bedok,East Region,1.31313,103.91479,Private room,8100,3,37,0.9028494441522652,KEMBANGAN MRT STATION,EW6,0.9417789891860828,Siglap Centre,"55 Siglap Rd, Singapore",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Rental unit in Bedok,1 bed,1,https://a0.muscache.com/pictures/11689767/b4de1c61_original.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/823571,1.0,1.0,0.0,Private
27,833289,Bukit Merah,Central Region,1.27716,103.82299,Private room,4500,24,37,1.0998207326372298,TIONG BAHRU MRT STATION,EW17,1.134500715474092,Tiong Bahru Plaza - Eating & Meeting Place,"302 Tiong Bahru Rd, Singapore 168732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Condo in Bukit Merah,2 beds · 1 private bath,2,https://a0.muscache.com/pictures/13687ee2-8ef6-4c5f-aa1c-da3211e49016.jpg,5.0,5.0,5.0,5.0,5.0,5.0,5.0,https://www.airbnb.com/rooms/833289,1.0,2.0,1.0,Private
28,863139,Kallang,Central Region,1.3092,103.86339,Private room,1200,3,12,0.2142030639016457,LAVENDER MRT STATION,EW11,0.0903640719868486,Aperia Mall,"8 - 12 Kallang Ave, Singapore 339509",1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,Rental unit in Kallang,1 bed · 1 private bath,1,https://a0.muscache.com/pictures/4969bc4e-4519-4714-9ddd-2dc1361eeb76.jpg,5.0,5.0,4.5,5.0,5.0,5.0,5.0,https://www.airbnb.com/rooms/863139,1.0,1.0,1.0,Private
29,881253,Outram,Central Region,1.28485,103.84317,Private room,1530,3,37,0.0615529657447659,CHINATOWN MRT STATION,NE4,0.0136116713270363,The Majestic,"80 Eu Tong Sen St, Singapore 059810",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,Rental unit in Outram,1 bedroom · 1 bed · 1 private bath,1,https://a0.muscache.com/pictures/368f17a7-fb72-4bb5-a84f-4ec3f0c97627.jpg,4.0,4.0,3.67,4.67,4.67,4.67,4.33,https://www.airbnb.com/rooms/881253,1.0,1.0,1.0,Private
30,915275,Kallang,Central Region,1.31208,103.85846,Private room,1650,3,12,0.4771282828408859,FARRER PARK MRT STATION,NE8,0.2213044824320911,Prime Nutrition Dr.Amit 📲82921225 Singapore,"City Square Mall 9th Floor #09-09, Office 16 Farrer Park MRT Exit i, 180 Kitchener Rd",1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,Rental unit in Kallang,1 bed · 1 private bath,1,https://a0.muscache.com/pictures/f38659b7-f0f5-4be4-85ad-546699223b15.jpg,4.5,4.5,4.0,4.5,4.5,5.0,4.0,https://www.airbnb.com/rooms/915275,1.0,1.0,1.0,Private
31,944287,Bukit Batok,West Region,1.34403,103.75534,Private room,1830,3,37,0.8494062811771859,BUKIT BATOK MRT STATION,NS2,0.724153877369,Harbour Mall Siracha Laem Chabang. 3 mil fra Pattaya,"51 Bukit Batok Cres, Singapore 658077",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Rental unit in Bukit Batok,1 bedroom · 1 bed · 1 shared bath,1,https://a0.muscache.com/pictures/13979893/bd2de932_original.jpg,4.29,4.14,4.43,5.0,5.0,4.57,4.43,https://www.airbnb.com/rooms/944287,1.0,1.0,1.0,Private
