date,day,holiday
2024/1/1,Sunday,New Year's Day
2024/2/10,Sunday,Chinese New Year
2024/2/11,Monday,Chinese New Year
2024/3/29,Friday,Good Friday
2024/4/10,Saturday,Hari Raya Puasa
2024/5/1,Monday,Labour Day
2024/5/22,Friday,Vesak Day
2024/6/17,Thursday,Hari Raya Haji
2024/8/9,Wednesday,National Day
2024/10/31,Sunday,Deepavali
2024/12/25,Monday,Christmas Day
