,name,lat,lng,formatted_address
137,Elegance Beauty & Slimming,1.27881,103.845292,"10 Anson Rd, International Plaza, Singapore 079903"
138,Heritage Hub,1.429481,103.8360523,"930 Yishun Ave 2, #02 - 30, Singapore 769098"
139,Oasis Terraces,1.4023703,103.9132022,"681 Punggol Dr, Singapore 820681"
140,Excelsior Shopping Centre,1.292045,103.8497894,"5 Coleman St, #03-27, Singapore 179805"
141,Game Resort,1.4481651000000002,103.8194747,"30 Sembawang Dr, #02-04, Singapore 757713"
142,Icon Village,1.2753013000000002,103.8443917,"12 Gopeng St, Singapore 078877"
143,The Midtown,1.37047,103.8954838,"1187 Upper Serangoon Rd, Singapore 533971"
144,oldsowhat vintage shop,1.3035078000000002,103.8617789,"#03-33, Jln Sultan, Sultan Plaza, Singapore 199001"
145,Pagoda House,1.283224,103.844439,"51 Pagoda St, Singapore 059210"
146,The Clementi Mall,1.3146904,103.7640272,"3155 Commonwealth Ave W, Singapore 129588"
147,Shopee Building,1.2924997,103.7864281,"5 Science Park Dr, Singapore"
148,Reservoir Shopping Center,1.3328685,103.9145523,"631 Bedok Reservoir Rd, Singapore 470631"
149,MDP Industries,1.2791856,103.8488437,"112 Robinson Rd, Singapore 068902"
150,Viva Vista Shopping Mall,1.279654,103.7861058,"3 South Buona Vista Rd, #B1-25 Viva Vista, Singapore 118136"
151,Reservoir Village,1.337805,103.922602,"740 Bedok Reservoir Rd, Singapore 470740"
152,Balestier Point,1.3227672,103.851969,"279 Balestier Rd, Singapore 329727"
153,MBS,1.2831625,103.8607379,"10 Bayfront Ave, Singapore 018956"
154,Tanglin Place,1.3053098,103.8250961,"91 Tanglin Rd, Singapore 247918"
155,Hong Lim Complex,1.2844981000000002,103.8458869,"175 South Bridge Rd, Singapore 058740"
156,Goldhill Plaza Mall,1.3179851,103.8429051,"1 Goldhill Plaza, Singapore 308900"
157,One Fullerton,1.2861348999999995,103.8539595,"1 Fullerton Rd, Singapore 049213"
158,The Oasis - Space for Rent,1.2877321000000002,103.7903725,"87 Science Park Dr, Singapore 118260"
159,Tiong Bahru Plaza - Eating & Meeting Place,1.2864763,103.8271508,"302 Tiong Bahru Rd, Singapore 168732"
160,New World Centre,1.3073566,103.8575602,"1 Jln Berseh, Singapore 209037"
161,Simpang 4 Kadut,1.4075223,103.7529759,"33 Sungei Kadut Ave, Singapore 729677"
162,Market Square @ Downtown East,1.3779962,103.9548834,Singapore
163,OUE Tower,1.2835014,103.8531358,"60 Collyer Quay, Singapore 049322"
164,E!Avenue @ Downtown East,1.3778367,103.9550988,"1 Pasir Ris Cl, Singapore 519599"
165,Bugis Junction,1.2988889,103.8555556,"200 Victoria St, Singapore 188021"
166,Havelock 2,1.2871839,103.8451368,"2 Havelock Rd, Singapore 059763"
167,KAP Mall,1.3369981000000002,103.7795531,"9 King Albert Park, Singapore"
1157,Beauty World Plaza,1.3417921999999998,103.7762593,"140 Upper Bukit Timah Rd, Singapore"
1784,The Grandstand,1.3380084,103.7934418,"200 Turf Club Rd, Singapore"
1785,New Cross Plaza,1.2825042,103.8489502,"8 Cross St, Singapore 048424"
1786,Far East Shopping Centre,1.3057392,103.8299232,"545 Orchard Rd, Singapore 238882"
1787,Tanjong katong Complex,1.3159363000000002,103.8945531,"845 Geylang Rd, #03-44, Singapore"
1788,Katong Square,1.3047255,103.9046894,"E Coast Rd, 86-88, Singapore"
1789,Eastwood Centre,1.3216364,103.9556659,"20 Eastwood Rd, Singapore"
1790,Bugis Cube,1.2981918,103.8556572,"470 North Bridge Rd, Singapore 188735"
1791,Scotts Square,1.3058788,103.8329554,"6 Scotts Rd, Singapore"
1792,Sunshine plaza,1.3005314,103.8508826,"91 Bencoolen St, Sunshine Plaza, Singapore"
1793,Greenwich V,1.3873705,103.8694069,"1 Seletar Rd, Singapore"
1794,Shaw Plaza,1.325,103.8511111,"360 Balestier Rd, Singapore"
1795,Alexandra Central Mall,1.2873346,103.8050545,"321 Alexandra Rd, Singapore"
1796,Macpherson Mall,1.3317617,103.8791809,"401 MacPherson Rd, Singapore"
3728,Our Tampines Hub,1.3529604,103.9403451,"1 Tampines Walk, Singapore"
4542,Dawson Place,1.2926472,103.8107529,"57 Dawson Rd, Singapore 142057"
4543,Djitsun Mall,1.3728178999999998,103.8476889,"5 Ang Mo Kio Central 2, Singapore"
4544,The Star Vista,1.3068072,103.7883997,"1 Vista Exchange Green, Singapore"
4545,Holland Road Shopping Centre,1.3104547,103.7954048,"211 Holland Ave, Singapore 278967"
4546,The Rail Mall,1.3582148,103.7679617,"380 Upper Bukit Timah Rd, Singapore 678040"
4547,Buangkok Square Mall,1.3843301,103.8820829,"Block 991 Buangkok Link, Singapore"
4548,Rivervale Mall,1.3919537,103.9047236,"11 Rivervale Cres, Singapore"
4549,myVillage,1.3650699,103.8652075,"1 Maju Ave, Singapore"
4550,Beauty World Centre,1.3423741000000002,103.7762593,"144 Upper Bukit Timah Rd, B1-22, Singapore"
4551,Bukit Timah Plaza,1.3385566,103.7786133,1 Jalan Anak Bukit #04-01 Bukit Timah Plaza
4552,Suntec City,1.29503,103.8583026,"3 Temasek Blvd, Singapore"
4553,SingPost Centre,1.3190065,103.8943833,"10 Eunos Rd 8, Singapore"
4554,Katong Shopping Centre,1.303903,103.9011732,"865 Mountbatten Rd, Singapore"
4555,I12 Katong,1.3052204,103.905072,"112 E Coast Rd, Singapore"
4556,Paya Lebar Square,1.3187541,103.8925678,"60 Paya Lebar Rd, Singapore"
4557,KINEX,1.3147221000000002,103.8947554,"11 Tanjong Katong Rd, Singapore"
4558,PLQ Mall,1.3175284,103.8928037,"10 Paya Lebar Road, PLQ Mall, Paya Lebar Quarter"
4559,Roxy Square 1,1.3039864,103.9043811,"50 E Coast Rd, Singapore"
4560,Fortune Centre,1.3004744,103.8520542,"190 Middle Rd, Fortune Centre, Singapore 188979"
4561,UKOBOX,1.3377184,103.949021,"3016 Bedok North Ave 4, #06-20, Singapore"
4562,Velocity＠Novena Square,1.3198822,103.8439452,"238 Thomson Rd, Singapore"
4563,Golden Mile Complex,1.3026966,103.86511690000002,"5001 Beach Rd, Singapore 199588"
4564,Parkway Parade,1.3013366000000002,103.9052333,"80 Marine Parade Rd, Singapore 449269"
4565,One Raffles Place,1.284177,103.851063,"1 Raffles Place, Singapore"
4566,Hougang Green Shopping Mall,1.3796363,103.8882148,"21 Hougang Street 51, Singapore"
4567,Hougang 1,1.3760614,103.8791547,"1 Hougang Street 91, Singapore"
4568,Lucky Plaza,1.3045456,103.8339449,"304 Orchard Rd, Singapore"
4569,Valley Point,1.2931676,103.8271026,"491 River Valley Rd, Singapore"
4570,Mandarin Gallery,1.302037,103.8362722,"333A Orchard Rd, Singapore"
4571,Wheelock Place,1.3047145,103.8305375,"501 Orchard Rd, Singapore"
4572,ION Orchard,1.3039288,103.8319512,"2 Orchard Turn, ION Orchard"
4573,VivoCity,1.2644031999999998,103.8222071,"1 HarbourFront Walk, Singapore 098585"
4574,Cineleisure Orchard,1.3015948,103.836414,"8 Grange Rd, Singapore 239695"
4575,The Majestic,1.2847423,103.8432282,"80 Eu Tong Sen St, Singapore 059810"
4576,Kallang Wave Mall,1.3032243,103.8728714,"1 Stadium Pl, Singapore 397628"
4577,Orchard Towers,1.3072293,103.8293323,"400 Orchard Rd, Singapore 238875"
4578,Leisure Park Kallang,1.3022222,103.8763889,"5 Stadium Walk, Singapore 397693"
4579,Rochester Mall,1.3056024,103.788206,"35 Rochester Dr, Singapore 138639"
4580,The Centrepoint,1.3021165,103.839761,"176 Orchard Rd, Singapore"
4581,The Atrium,1.2995948999999998,103.8458175,"60A Orchard Rd, Singapore"
4582,Millenia Walk,1.2928181,103.8598344,"9 Raffles Blvd, Singapore"
4583,Orchard Gateway,1.3009583999999998,103.8389111,"277 Orchard Rd, Singapore"
4584,Capitol Singapore,1.2929876,103.8511619,"13 Stamford Rd, Singapore"
4585,Sim Lim Square,1.3030433,103.8529208,"1 Rochor Canal Rd, Singapore"
4586,The Cathay,1.2995083,103.8477778,"2 Handy Rd, Singapore"
4587,Fu Lu Shou Complex,1.3016228,103.8544321,"149 Rochor Rd, Singapore"
4588,Tekka Place,1.3050631,103.8514261,"2 Serangoon Rd, Singapore"
4589,Wisteria Mall,1.4180753,103.8407518,"598 Yishun Ring Rd, Singapore"
4590,Sun Plaza,1.4482678,103.8196887,"30 Sembawang Dr, Singapore"
4591,Woodlands Mart,1.4460087,103.7978603,"768 Woodlands Ave 6, Singapore"
4592,Compass One,1.3924343,103.8954118,"1 Sengkang Square, Singapore"
4593,Waterway Point,1.40669,103.9021738,"83 Punggol Central, Singapore"
4594,Rivervale Plaza,1.385387,103.9018653,"118 Rivervale Dr, Singapore"
4595,Hougang Mall,1.3725893999999998,103.8937225,"90 Hougang Ave 10, Singapore"
4596,AMK Hub,1.36953,103.8484398,"53 Ang Mo Kio Ave 3, Singapore"
4597,The Promenade @ Pelikat,1.3551225,103.8875314,"183 Jln Pelikat, Singapore"
4598,Singapore Shopping Centre,1.2980833,103.8440979,"190 Clemenceau Ave, Singapore"
4599,Raffles City Shopping Centre,1.2937584999999998,103.8534331,"252 North Bridge Rd, Singapore"
4600,Peninsula Shopping Centre Singapore,1.291884,103.8500517,"3 Coleman St, Singapore"
4601,Orchard Central,1.3006295,103.8398742,"181 Orchard Rd, Singapore"
4602,Peninsula Plaza Singapore,1.2918838,103.8500503,"111 North Bridge Rd, Singapore"
4603,UE Square,1.2921679,103.8426697,"81 Clemenceau Ave, Singapore"
4604,Bugis Street,1.3005871,103.8549433,"3 New Bugis Street, Singapore"
4605,South Beach Avenue,1.294088,103.855465,"26 Beach Rd, Singapore"
4606,Marina Square,1.2911534,103.8576778,"6 Raffles Blvd, Marina Square, Singapore"
4607,Chinatown Complex,1.2822566,103.8432282,"335 Smith St, S"
4608,The Adelphi,1.2911845,103.8512167,"1 Coleman St, Singapore"
4609,Chinatown,1.2828226,103.845453,"South Bridge Rd, 227-233, Singapore"
4610,The Central @ Clarke Quay,1.2890252,103.8466098,"6 Eu Tong Sen St, Singapore"
4611,Anchorpoint Shopping Centre,1.2887706,103.8050762,"370 Alexandra Rd, Singapore"
4612,Alexandra Retail Centre,1.2737935,103.8016048,"460 Alexandra Rd, Singapore"
4613,Depot Heights Shopping Centre,1.2812742,103.8099871,"108 Depot Rd, Singapore"
4614,Chinatown Point,1.2852093,103.8447228,"133 New Bridge Rd, Singapore"
4615,The Shoppes at Marina Bay Sands,1.2837366,103.8591923,2 Bayfront Ave Marina Bay Sands
4616,CityLink,1.2913085,103.8551998,"1 Raffles Link, Singapore"
4617,100 AM,1.2750063,103.8435656,"100 Tras St, Singapore"
4618,Change Alley,1.2841569,103.8523814,"16 Collyer Quay, Singapore"
4619,China Square Central,1.2836335,103.8469622,"18 Cross St, Singapore"
4620,Funan Mall,1.291321,103.8500832,"107 North Bridge Rd, Singapore"
4621,Telok Blangah Mall,1.2733062,103.8091982,"78B Telok Blangah Street 32, Singapore"
4622,Marina Bay Link Mall,1.2795303,103.8543391,"8A Marina Blvd, Singapore"
4623,Junction 10,1.3798647,103.7606506,"1 Woodlands Rd, Singapore"
4624,Greenridge Shopping Centre,1.3852904,103.7662349,"524A Jelapang Rd, Singapore"
4625,Bukit Panjang Plaza,1.3800396,103.7642339,"1 Jelebu Rd, Singapore"
4626,Fajar Shopping Centre,1.3838672,103.7705214,"445 Fajar Rd, Singapore"
4627,Teck Whye Shopping Centre,1.3800721000000002,103.7524357,"137 Teck Whye Ln, Singapore"
4628,Woodlands North Plaza,1.4426674,103.7907333,"883 Woodlands Street 82, Singapore"
4629,Tampines Mall,1.3524936,103.9447179,"4 Tampines Central 5, Singapore"
4630,Eastpoint Mall,1.3427145,103.9530415,"3 Simei Street 6, Singapore"
4631,Century Square,1.3523888000000002,103.9438567,"2 Tampines Central 5, #01-32 Century Square, Singapore"
4632,Bedok Mall,1.3244893999999998,103.92902,"311 New Upper Changi Rd, Singapore"
4633,Bedok Point,1.3249305,103.9323811,"799 New Upper Changi Rd, Singapore"
4634,Tampines 1,1.354212,103.9450352,"10 Tampines Central 1, Singapore"
4635,Changi City Point,1.334638,103.9623868,"5 Changi Business Park Central 1, Singapore"
4636,Elias Mall,1.3783052,103.9418722,"Elias Rd, Elias Mall, Singapore"
4637,White Sands,1.3724166000000002,103.9496584,"1 Pasir Ris Central Street 3, Singapore"
4638,Pasir Ris West Plaza,1.3797981,103.9362665,"735 Pasir Ris Street 72, Singapore"
4639,Tampines Mart,1.3544642,103.9600116,"Tampines Street 32, Singapore"
4640,Djitsun Mall Bedok,1.3262627,103.9294958,"445 Bedok North Street 1, Singapore"
4641,Siglap Centre,1.3124678,103.9232359,"55 Siglap Rd, Singapore"
4642,Loyang Point,1.3670428999999995,103.9644334,"258-259 Pasir Ris Street 21, Singapore"
4643,Punggol Plaza,1.394228,103.913016,"168 Punggol Field, Singapore"
4644,Jewel Changi Airport,1.3602082,103.9897593,"78 Airport Blvd., Singapore"
4645,Ngee Ann City,1.3025572,103.834568,"391A Orchard Rd, Singapore"
4646,Queensway Shopping Centre,1.2877846000000002,103.8036027,"1 Queensway, Singapore"
4647,313@somerset,1.300898,103.838361,"313 Orchard Rd, Singapore"
4648,Coronation Shopping Plaza,1.3239058,103.8099918,"587 Bukit Timah Rd, Singapore"
4649,Concorde Shopping Centre,1.2892149,103.8343992,"317 Outram Rd, Singapore"
4650,Tanglin Shopping Center,1.3063651,103.8266182,"19 Tanglin Rd, #02-43B, Singapore"
4651,Delfi Orchard,1.307349,103.8283279,"402 Orchard Rd, Singapore"
4652,Takashimaya S.C.,1.3027299,103.834317,"391 Orchard Rd, Singapore"
4653,Paragon,1.3038698999999998,103.8357982,"290 Orchard Rd, Singapore"
4654,People's Park Complex,1.2841947,103.842484,"1 Park Rd, Singapore"
4655,City Square Mall,1.3111877,103.8566675,"180 Kitchener Rd, Singapore"
4656,NEX,1.3507723,103.8722585,"23 Serangoon Central, Singapore"
4657,United Square Shopping Mall,1.3172768,103.8436682,"101 Thomson Rd, Singapore"
4658,Upper Serangoon Shopping Centre,1.3539953000000002,103.8786621,"756 Upper Serangoon Rd, Singapore"
4659,Junction 8,1.3506808,103.8487631,"9 Bishan Pl, Singapore"
4660,Novena Square Shopping Mall,1.3200048999999998,103.8439137,"238 Thomson Rd, Singapore"
4661,Bishan North Shopping Mall,1.3582587,103.844478,"282 Bishan Street 22, Singapore"
4662,Forum The Shopping Mall,1.3061111,103.8286111,"583 Orchard Rd, Singapore"
4663,Far East Plaza,1.3070853999999998,103.8333034,"14 Scotts Rd, Singapore"
4664,Mustafa Centre,1.3097877,103.8555583,"145 Syed Alwi Rd, Singapore"
4665,Heartland Mall,1.359469,103.8851289,"205 Hougang Street 21, Singapore"
4666,Thomson Plaza,1.3548,103.8308,"301 Upper Thomson Rd, Singapore"
4667,Square 2 @ Novena,1.3208322,103.8441474,"10 Sinaran Dr, Singapore"
4668,Shaw House,1.3062931999999998,103.8318472,"1 Scotts Rd, Singapore"
4669,Claymore Connect,1.3074912,103.828781,"442 Orchard Rd, Singapore"
4670,The Woodleigh Mall,1.3385074,103.8716119,"11 Bidadari Park Drive, Singapore"
4671,Palais Renaissance,1.3067391000000002,103.829583,"390 Orchard Rd, Singapore"
4672,West Coast Plaza,1.303632,103.766452,"154 West Coast Rd, Singapore"
4673,321 Clementi,1.311998,103.765014,"321 Clementi Ave 3, Singapore"
4674,Lot One Shoppers' Mall,1.3851169,103.7449142,"21 Choa Chu Kang Ave 4, Singapore"
4675,West Mall,1.3500142,103.7491801,"1 Bukit Batok Central Link, Singapore"
4676,IMM,1.3348154,103.7468395,"2 Jurong East Street 21, Singapore"
